name,email,date_of_birth,mobile_no,unsuccessful_reason
Brandon Erickson,Brandon_Erickson@wilson.com,1982-11-19,358557,invalid mobile
Theresa Ross,Theresa_Ross@thompson.info,1969/06/18,97976,invalid mobile
Julian Nguyen,Julian_Nguyen@lewis.com,03/27/2013,23876,invalid mobile
Charles Shields,Charles_Shields@oliver.org,1979/04/07,54884063,invalid email
Adriana Perez,Adriana_Perez@harris.com,1956/01/14,6357009,invalid mobile
Melissa Jackson,Melissa_Jackson@schroeder-lopez.org,12-01-1996,51041,invalid mobile
William Ortiz,William_Ortiz@foley.org,1990-06-23,880059,invalid mobile
Mark Johnson,Mark_Johnson@smith.com,1978/11/17,82956,invalid mobile
Troy Phillips,Troy_Phillips@huynh.net,1951/10/27,266277,invalid mobile
Sarah Porter,Sarah_Porter@rose-mercado.net,12/21/1970,128499,invalid mobile
Mark Scott,Mark_Scott@hernandez.com,05/12/1976,8159362,invalid mobile
Joseph Sullivan,Joseph_Sullivan@woods-shaw.biz,07/12/1979,377631,invalid mobile
Andrew Ryan,Andrew_Ryan@woodard.com,2012-11-28,184779,invalid mobile
Paula Dixon,Paula_Dixon@lee-carter.net,1999/02/24,969831,invalid mobile
Dr. Emily Hernandez,Emily_Hernandez@hernandez-mcconnell.biz,2015/08/03,31041,invalid mobile
Donald Jimenez,Donald_Jimenez@coleman.info,2016/02/07,544983,invalid mobile
Mr. William Parker,William_Parker@colon.net,08-02-1952,43576,invalid mobile
Austin Stevens,Austin_Stevens@nixon-bell.net,12/06/1992,877473,invalid mobile
Heather Rogers,Heather_Rogers@golden.com,1996/04/19,3442552,invalid mobile
Christopher Cline,Christopher_Cline@conrad.org,1958-02-28,21240567,invalid email
James Cordova,James_Cordova@rodriguez.info,09/04/1958,9407 5463,invalid email
Denise Smith,Denise_Smith@lee.biz,05/02/1992,744777,invalid mobile
Amanda Myers,Amanda_Myers@schneider.com,24-03-1977,670095,invalid mobile
Johnny Mooney,Johnny_Mooney@miles.biz,1951/09/29,8371406,invalid mobile
Corey Spencer,Corey_Spencer@rios.com,13-05-1995,335667,invalid mobile
Jacqueline Davis,Jacqueline_Davis@williams.info,12-06-2009,17681,invalid mobile
Kayla Davis,Kayla_Davis@zuniga.net,27-08-2007,3597924,invalid mobile
Bradley Poole,Bradley_Poole@schroeder-benitez.info,1995/04/24,5383008,invalid mobile
William Pierce,William_Pierce@smith.com,1987/10/03,6368594,invalid mobile
Brianna Berg,Brianna_Berg@martin.info,1991/11/10,3607815,invalid mobile
Jimmy Fischer,Jimmy_Fischer@jackson.org,24-07-2011,6097155,invalid mobile
Frances Harris,Frances_Harris@martinez.com,09/22/1969,3637229,invalid mobile
Kenneth Benton,Kenneth_Benton@mack.com,2017/11/19,37406,invalid mobile
Christopher Newman,Christopher_Newman@campbell.info,1995/09/25,93133527,invalid email
Rebecca Jackson,Rebecca_Jackson@clark.com,1969/06/28,8651210,invalid mobile
Veronica Bradshaw,Veronica_Bradshaw@martinez.com,18-07-1965,7569689,invalid mobile
Catherine Allen,Catherine_Allen@hernandez-fields.com,1980-09-05,38811,invalid mobile
Andrea Carrillo,Andrea_Carrillo@hansen.com,1992/02/15,930069,invalid mobile
Kelly Bailey,Kelly_Bailey@cherry.info,1996/02/17,43647431,invalid email
Kerry Byrd,Kerry_Byrd@brown.net,20-07-1971,9841007,invalid mobile
Gregory Lambert,Gregory_Lambert@williams.org,10/07/1975,2659 8607,invalid email
Dale Anderson,Dale_Anderson@bennett.com,07/25/1978,36216,invalid mobile
Jacob Sherman,Jacob_Sherman@williams-holden.com,12/03/1956,9714237,invalid mobile
David Webb,David_Webb@schmidt.com,06/03/1954,68466,invalid mobile
Tonya Green,Tonya_Green@acevedo.com,31-03-2008,14506,invalid mobile
Alexis Lane,Alexis_Lane@stanley.com,22-06-2000,2086722,invalid mobile
Joyce Cannon,Joyce_Cannon@hernandez.info,1960/04/09,686403,invalid mobile
Anne Ray,Anne_Ray@duran.org,2015/09/02,459837,invalid mobile
Karen Williams,Karen_Williams@hines.com,1965/06/11,81576,invalid mobile
Sheena Krause,Sheena_Krause@williams.com,1988/05/24,185583,invalid mobile
Luis Wallace,Luis_Wallace@lopez-taylor.com,1977/02/26,731547,invalid mobile
Robert Shepherd,Robert_Shepherd@johnson.net,10/04/1962,56446,invalid mobile
Robert Scott,Robert_Scott@arnold.com,25-07-2003,26296,invalid mobile
Carlos Johnson,Carlos_Johnson@perez.biz,18-02-1985,7907922,invalid mobile
Crystal Hansen,Crystal_Hansen@griffin-potter.info,1980-05-18,5151126,invalid mobile
Judy Schneider,Judy_Schneider@stephens.com,1983-09-27,2411858,invalid mobile
Crystal Brady,Crystal_Brady@ewing.com,21-02-1985,66286,invalid mobile
Samantha Henson,Samantha_Henson@meadows.com,08/18/2003,2851500,invalid mobile
Daniel Sims,Daniel_Sims@roach-oneal.com,1989/11/07,2319703,invalid mobile
Connie Day,Connie_Day@greer.com,05-02-2003,519255,invalid mobile
Dylan Lee,Dylan_Lee@anderson.net,12/04/1978,4076892,invalid mobile
Christian Lee,Christian_Lee@hicks.org,2013-09-09,750699,invalid mobile
Deanna Stephens,Deanna_Stephens@keith.info,28-10-1994,7345794,invalid mobile
David Perry,David_Perry@walls-nguyen.com,1991-05-06,47266,invalid mobile
Charles Villegas,Charles_Villegas@rivera-clark.com,11/06/1978,384471,invalid mobile
Sharon Clark,Sharon_Clark@cabrera-turner.info,1953/08/06,51371,invalid mobile
Christina Sanders,Christina_Sanders@davidson-savage.com,17-08-2003,6578426,invalid mobile
Jeffrey Hinton,Jeffrey_Hinton@brown.com,1963/12/14,46301,invalid mobile
Gina Harris,Gina_Harris@butler.com,04/13/1956,716955,invalid mobile
Alex Tapia,Alex_Tapia@webster.com,11/15/1999,752763,invalid mobile
Justin White,Justin_White@lucas-moore.info,2001-07-21,34278303,invalid email
Jacob Woods,Jacob_Woods@thompson-wolf.com,16-06-2003,92331,invalid mobile
Rachel Browning,Rachel_Browning@smith.info,1961/10/17,19703607,invalid email
Sean Watson,Sean_Watson@jones-diaz.biz,1981-03-22,22526,invalid mobile
Stephanie Oneal,Stephanie_Oneal@davis.info,24-05-1994,36971,invalid mobile
Stephanie Maldonado,Stephanie_Maldonado@vasquez.info,1976/10/07,287055,invalid mobile
Jay Williams,Jay_Williams@dalton.com,01-06-1964,7184934,invalid mobile
Jeffery Rodriguez,Jeffery_Rodriguez@norton.com,17-04-1993,347595,invalid mobile
Margaret Guzman,Margaret_Guzman@wright-weber.com,12-12-1997,8831096,invalid mobile
Lori Willis,Lori_Willis@hernandez-johnson.com,1981/01/16,11861,invalid mobile
John Fernandez Jr.,John_Fernandez@may.org,30-05-1980,17232207,invalid email
Dr. Christina Valdez,Christina_Valdez@santana.org,07/14/1979,2517705,invalid mobile
Timothy Martin,Timothy_Martin@whitaker.com,02/04/2016,99946,invalid mobile
Kelly Scott,Kelly_Scott@bailey.biz,08/11/2011,6951967,invalid mobile
Mr. Joseph Ward,Joseph_Ward@carson.com,09/11/1969,5776744,invalid mobile
Brady Gonzalez,Brady_Gonzalez@mckay.com,1984-12-03,1679308,invalid mobile
Linda Mcdonald,Linda_Mcdonald@alexander.com,2001/12/05,16671,invalid mobile
Donna Yates,Donna_Yates@moore.org,16-02-2008,52316,invalid mobile
Aaron Keith,Aaron_Keith@lopez-clark.com,1972-06-18,707841,invalid mobile
Nicholas Cook,Nicholas_Cook@koch.com,07/12/1974,97811,invalid mobile
Erica Gonzales,Erica_Gonzales@munoz.net,09/26/1994,815745,invalid mobile
Brian Rodriguez,Brian_Rodriguez@jones.net,13-06-1965,65591,invalid mobile
Melissa Schultz,Melissa_Schultz@hunter.biz,07/30/2017,6547 2255,invalid email
Nancy Williams,Nancy_Williams@nguyen.com,08/09/1998,295329,invalid mobile
Kathryn Barrera,Kathryn_Barrera@perez-clark.org,13-07-1990,82301,invalid mobile
Kristen Martin,Kristen_Martin@freeman-jones.com,06/14/1975,5903906,invalid mobile
Christopher Lester,Christopher_Lester@keller.org,04-05-1954,79532575,invalid email
Kathleen Robinson,Kathleen_Robinson@beard.biz,20-01-1998,471105,invalid mobile
Katherine Ward,Katherine_Ward@foster.com,1980-02-21,62901,invalid mobile
Angelica Delgado,Angelica_Delgado@hensley.org,1988/05/26,2668891,invalid mobile
William Burke,William_Burke@lane.info,1992/12/29,215793,invalid mobile
Michele Hurley,Michele_Hurley@henry.com,1964/06/15,5835789,invalid mobile
Ashley Rogers,Ashley_Rogers@elliott-johnson.com,12-06-2004,97874903,below 18
Jennifer Kim,Jennifer_Kim@maxwell.com,1994/05/19,895473,invalid mobile
Corey Roth,Corey_Roth@rivera.com,05-10-2007,893955,invalid mobile
Gabriella Conner,Gabriella_Conner@martinez-vega.info,1960-09-23,9246147,invalid mobile
Madison Owen,Madison_Owen@barron.com,2004/07/19,68116,invalid mobile
Alicia Kaufman,Alicia_Kaufman@phillips.biz,04-02-1991,5434486,invalid mobile
Emma Morse,Emma_Morse@keller-morales.com,2013/10/20,221937,invalid mobile
Alicia Dean,Alicia_Dean@leon.org,1982-07-16,32173895,invalid email
Emily Acevedo,Emily_Acevedo@dunn.net,13-03-1964,988851,invalid mobile
Valerie Boyd PhD,Valerie_Boyd@marshall-ross.info,03/27/2001,2859 3615,invalid email
Harold Lucero,Harold_Lucero@weeks.com,1987-12-31,593511,invalid mobile
Sabrina Marshall,Sabrina_Marshall@baker-yu.com,2018/10/31,70301767,below 18
Jimmy Hall,Jimmy_Hall@spence-knapp.biz,1955-09-30,45553567,invalid email
Trevor Daniels,Trevor_Daniels@wilson.com,1984-07-19,28476,invalid mobile
Amanda Gay,Amanda_Gay@chavez.com,2006/05/04,833841,invalid mobile
Lindsay Barnett,Lindsay_Barnett@barnes.com,09-03-2001,897651,invalid mobile
Gregory Jones MD,Gregory_Jones@mcdonald.net,1952-06-12,33721,invalid mobile
Gary Murphy,Gary_Murphy@singleton.info,10-12-1999,96047135,invalid email
Ashley Marsh,Ashley_Marsh@norris-kelly.com,29-05-1978,404601,invalid mobile
Michael Jones,Michael_Jones@mcdaniel.org,2008-11-24,16126,invalid mobile
Diane Herrera,Diane_Herrera@alvarado.org,06/12/2005,9183 7411,invalid email
Andrew Gibson,Andrew_Gibson@yu-richardson.org,09-08-1953,15513119,invalid email
Tyler Morris MD,Tyler_Morris@cross.com,2017-05-23,26630807,below 18
Cassandra Lewis,Cassandra_Lewis@ward.org,2012/08/27,86877407,invalid email
Ian Deleon,Ian_Deleon@mullins-espinoza.org,1986-03-07,36389911,invalid email
Calvin Mcgrath,Calvin_Mcgrath@smith.net,2018-07-07,407259,invalid mobile
Stephanie Lee,Stephanie_Lee@tran-parker.biz,10/16/1962,16951,invalid mobile
Jay Merritt,Jay_Merritt@patterson.org,1984-10-17,46065855,invalid email
Katherine Patrick,Katherine_Patrick@rocha.com,27-04-2018,87666807,below 18
David Mckinney,David_Mckinney@pollard.net,12/25/1984,6613412,invalid mobile
Darren Hale,Darren_Hale@murphy.biz,1994-04-07,976407,invalid mobile
Jonathan Smith,Jonathan_Smith@aguilar.biz,04-02-1972,941157,invalid mobile
Joseph Acosta,Joseph_Acosta@hansen.biz,04/18/1967,4411 5387,invalid email
Samantha Miller,Samantha_Miller@west.com,10-11-1959,8809872,invalid mobile
John Frazier,John_Frazier@webster.com,1977-02-09,9296190,invalid mobile
Eric Mejia,Eric_Mejia@scott-dunn.com,09/24/2004,70801,invalid mobile
Lisa Ramirez,Lisa_Ramirez@george.org,2009-01-13,14592223,invalid email
Larry Cox,Larry_Cox@green.info,1952/10/09,31571,invalid mobile
Renee Oneal,Renee_Oneal@adams.com,05-02-2008,6169717,invalid mobile
Bryan Espinoza,Bryan_Espinoza@moore.com,16-07-1976,8357791,invalid mobile
Christina Suarez,Christina_Suarez@mcclain.org,2007/08/04,1356979,invalid mobile
Brandi Flores,Brandi_Flores@bowen.biz,06-02-1995,75411,invalid mobile
Jackie Bates,Jackie_Bates@sanders.org,1988-02-20,727875,invalid mobile
Darrell White,Darrell_White@hunter-chavez.com,1959-04-08,26976,invalid mobile
James Johnson,James_Johnson@phillips-buchanan.biz,10/07/1991,11516,invalid mobile
Kelly Wood,Kelly_Wood@martinez.com,09-05-1961,616683,invalid mobile
Lisa Schultz,Lisa_Schultz@molina.com,2011-04-17,76236,invalid mobile
Jessica Hughes,Jessica_Hughes@wright.com,05/21/1993,56956,invalid mobile
Kimberly Reid,Kimberly_Reid@ramirez.com,1964-07-27,41556,invalid mobile
William Young,William_Young@allen-collins.net,06-11-1987,531231,invalid mobile
Robert Zuniga,Robert_Zuniga@rodriguez-garcia.com,2005-07-04,58375519,below 18
Caroline Rodriguez,Caroline_Rodriguez@mendoza.biz,29-10-1990,2282582,invalid mobile
Monique Sharp,Monique_Sharp@burton.biz,1969/03/17,936291,invalid mobile
Antonio Smith,Antonio_Smith@ramirez-zamora.com,2015-02-05,50487943,below 18
Patricia Flynn,Patricia_Flynn@chan-castro.com,2015-03-27,25661,invalid mobile
Lindsey Santos,Lindsey_Santos@chung-walker.org,16-03-1989,438777,invalid mobile
Savannah Smith,Savannah_Smith@johnston-gibson.com,1985-08-24,318495,invalid mobile
Kimberly Roberts,Kimberly_Roberts@fitzgerald.biz,09-10-2013,710655,invalid mobile
David Dominguez,David_Dominguez@zamora-morgan.net,13-04-2008,3256730,invalid mobile
Brittany Joyce,Brittany_Joyce@thomas.biz,1960-11-14,65804583,invalid email
Diana Bryant,Diana_Bryant@arias.com,05/16/1951,25971,invalid mobile
Sarah Baker,Sarah_Baker@miller.com,11/06/2013,3223 1163,below 18
Teresa Rios,Teresa_Rios@hill.org,1959-01-30,5173211,invalid mobile
Marcus Wilson,Marcus_Wilson@bailey.info,1986-08-07,95036,invalid mobile
Rodney Hansen,Rodney_Hansen@morris.com,02-07-1963,35091,invalid mobile
Frank Gonzalez,Frank_Gonzalez@graham.com,23-05-2002,142887,invalid mobile
Billy Mcneil,Billy_Mcneil@brooks.info,30-07-1951,3983743,invalid mobile
Sabrina Carter,Sabrina_Carter@hubbard.com,22-12-1990,780687,invalid mobile
Lisa Smith,Lisa_Smith@stephenson-page.com,21-10-2012,8352065,invalid mobile
Daniel Gutierrez,Daniel_Gutierrez@shaffer-allen.info,1970/01/14,79996,invalid mobile
Jennifer Johnson,Jennifer_Johnson@osborn.com,1997/09/22,516345,invalid mobile
Tammy Harris,Tammy_Harris@gamble-baker.net,19-09-1961,7570858,invalid mobile
Dominique Reynolds,Dominique_Reynolds@shannon-miller.net,1963-04-04,4518669,invalid mobile
Brad Shaw,Brad_Shaw@berg-weaver.com,09/10/2004,9523 2383,below 18
Jennifer Marks,Jennifer_Marks@taylor-davis.com,1967-08-12,5313106,invalid mobile
Sara Scott,Sara_Scott@richards.org,1979/08/03,6081594,invalid mobile
Dr. Richard Walker,Richard_Walker@phelps.info,1964-11-24,1764687,invalid mobile
Justin Williams,Justin_Williams@rios.com,1984/04/25,2534869,invalid mobile
Richard White,Richard_White@martinez.com,09-06-1995,53291,invalid mobile
Amber Haynes,Amber_Haynes@martinez.net,04-06-2007,523179,invalid mobile
Dale Cunningham,Dale_Cunningham@butler.com,27-07-2012,33636,invalid mobile
Gina Anderson,Gina_Anderson@hancock-jones.com,1990-02-28,549441,invalid mobile
Amber Gonzalez,Amber_Gonzalez@vargas.com,1988-05-28,94911,invalid mobile
Kathleen Flynn,Kathleen_Flynn@boyd-king.biz,13-09-1987,93605471,invalid email
Brittney Cannon,Brittney_Cannon@henderson.info,27-02-1989,57321,invalid mobile
Penny Smith,Penny_Smith@clark-frank.com,30-01-2015,30415199,below 18
Valerie Thompson,Valerie_Thompson@kim.com,26-09-1970,41681,invalid mobile
Sean Deleon,Sean_Deleon@young.biz,28-03-1998,47966,invalid mobile
Gary Hicks,Gary_Hicks@hopkins-salazar.biz,27-02-2018,68934063,invalid email
Mr. David Walker,David_Walker@gibbs-wright.org,03/29/1965,3886345,invalid mobile
Mary Preston,Mary_Preston@roman-schwartz.com,2015-05-31,87766727,below 18
Kelly Key,Kelly_Key@stephens.com,06-12-2011,90001,invalid mobile
Tracy Preston,Tracy_Preston@reynolds-baxter.com,08-04-2012,9005424,invalid mobile
Tiffany Keller,Tiffany_Keller@perry-mitchell.com,1966/10/14,64916,invalid mobile
Pamela Marshall,Pamela_Marshall@grimes.com,11/28/1997,14001,invalid mobile
Dawn Miranda,Dawn_Miranda@werner.info,09/22/1955,5927 4615,invalid email
Anna Butler,Anna_Butler@hanna.biz,1975/03/25,683055,invalid mobile
Christopher Martin,Christopher_Martin@fitzgerald-delgado.info,1991-08-06,470241,invalid mobile
Mason George,Mason_George@graham-gutierrez.info,2008/08/17,6506767,invalid mobile
Marissa Avery,Marissa_Avery@lewis-warren.com,09/25/2014,418911,invalid mobile
Maurice Morgan,Maurice_Morgan@adkins.biz,14-06-1971,202497,invalid mobile
Sonia Lopez,Sonia_Lopez@young.com,2006/04/21,7153672,invalid mobile
Mark Richards,Mark_Richards@clark.com,28-11-1967,150279,invalid mobile
Norma Smith,Norma_Smith@herrera.org,03/27/2016,66411,invalid mobile
Brandy Villanueva,Brandy_Villanueva@williams.net,1978/01/07,471753,invalid mobile
David Stevens,David_Stevens@reynolds-jones.org,1983/04/01,637989,invalid mobile
Alexis Kim,Alexis_Kim@hanson.com,2009/01/20,671745,invalid mobile
Roy Russo,Roy_Russo@chan-strong.info,1954/04/06,39936,invalid mobile
Carolyn Richardson,Carolyn_Richardson@bean.com,1950/04/19,204051,invalid mobile
Alan Reyes,Alan_Reyes@benson.info,09/23/2016,9591 2183,invalid email
Courtney Jensen,Courtney_Jensen@wells-hill.com,2018-06-04,64326,invalid mobile
Ryan Love,Ryan_Love@patterson-stokes.com,04-03-2000,4287242,invalid mobile
Kathy Valenzuela,Kathy_Valenzuela@lang-gonzales.com,1959-02-06,75316,invalid mobile
Erica Pruitt,Erica_Pruitt@ross-lamb.biz,1980-09-23,31838831,invalid email
Natalie Flores,Natalie_Flores@stone.net,12/01/1983,618717,invalid mobile
Eileen Thomas,Eileen_Thomas@campbell-lyons.com,08-03-2006,25206031,below 18
Suzanne Hernandez,Suzanne_Hernandez@harris.com,17-09-1970,480423,invalid mobile
Eric Hicks,Eric_Hicks@harris-marshall.com,2009-11-12,44671,invalid mobile
Madeline Preston,Madeline_Preston@moore.com,2011/08/27,2838508,invalid mobile
Mary Carroll,Mary_Carroll@friedman.com,27-11-1995,89526,invalid mobile
Holly Skinner,Holly_Skinner@mays.com,2006-10-26,74301,invalid mobile
Lawrence Jones,Lawrence_Jones@williams.com,1976/08/05,853941,invalid mobile
Tina Norton,Tina_Norton@davis.org,1976-11-14,8765807,invalid mobile
April Jones,April_Jones@haynes.com,1964-01-13,25496,invalid mobile
Jessica Gutierrez,Jessica_Gutierrez@moore-davidson.info,1994/02/15,173325,invalid mobile
Hayley Gibson,Hayley_Gibson@calderon.info,1999-08-12,50365367,invalid email
Jessica Riggs,Jessica_Riggs@hunter-maldonado.com,05/24/1960,984117,invalid mobile
Denise Peterson,Denise_Peterson@cook.info,10/20/1983,45291,invalid mobile
Jerry Brown,Jerry_Brown@patel.biz,06-10-2012,6606755,invalid mobile
Margaret Frazier,Margaret_Frazier@cook.com,07-07-2009,11301,invalid mobile
Ricky Johnson,Ricky_Johnson@brown.biz,1982-01-26,641835,invalid mobile
Mrs. Sara Romero,Sara_Romero@downs.biz,2004/05/14,7661032,invalid mobile
Samuel Reynolds,Samuel_Reynolds@castro-flores.net,12/26/1969,199599,invalid mobile
Andrew Foley,Andrew_Foley@reyes.org,2006-05-08,6758816,invalid mobile
Lee Barker,Lee_Barker@tyler-silva.info,02/19/1980,297543,invalid mobile
Amanda Li,Amanda_Li@riddle.com,27-04-1992,819327,invalid mobile
Stephanie Davis,Stephanie_Davis@marshall-hernandez.com,1959-06-03,5585931,invalid mobile
Don Rose MD,Don_Rose@morales-green.org,11/02/1978,2465380,invalid mobile
Bradley Gibson,Bradley_Gibson@maddox-jordan.net,09-07-1999,75496,invalid mobile
Heidi Ortiz,Heidi_Ortiz@carr.org,13-09-1981,199965,invalid mobile
Malik Clark,Malik_Clark@stein-dickerson.com,19-02-1964,8448084,invalid mobile
Nicole Henderson DVM,Nicole_Henderson@johnson-ramos.com,18-12-1954,599097,invalid mobile
Katie Merritt,Katie_Merritt@bell.com,10/20/2005,477885,invalid mobile
Michelle Hall,Michelle_Hall@fleming.com,11-06-1957,94591,invalid mobile
Amanda Martinez,Amanda_Martinez@avila.com,06/16/1981,663387,invalid mobile
Kenneth Cortez,Kenneth_Cortez@lewis.biz,2000/05/18,39338615,invalid email
